srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,sload,dload,spkts,dpkts,swin,dwin,stcpb,dtcpb,smean,dmean,trans_depth,response_body_len,sjit,djit,stime,ltime,sinpkt,dinpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,label,attack_cat
149.171.126.18,47439,175.45.176.1,53,udp,INT,7e-06,264,0,60,0,0,0,dns,150857136.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424239169,1424239169,0.007,0.0,0.0,0.0,0.0,0,0,,, ,19,19,7,7,7,7,19,0,Normal
59.166.0.1,48097,149.171.126.5,24791,udp,CON,0.002572,528,304,31,29,0,0,-,1231726.25,709175.75,4,4,0,0,0,0,132,76,0,0,0.978637,0.691789,1421938062,1421938062,0.698,0.494667,0.0,0.0,0.0,0,0,0.0,0.0,0,6,6,6,4,1,1,3,0,Normal
59.166.0.9,59737,149.171.126.6,111,udp,CON,0.021287,568,312,31,29,0,0,-,160097.7188,87941.0,4,4,0,0,0,0,142,78,0,0,2.817585,9.317311,1421966076,1421966076,2.003333,6.590333,0.0,0.0,0.0,0,0,0.0,0.0,0,4,8,4,3,1,1,3,0,Normal
59.166.0.1,18979,149.171.126.9,6881,tcp,FIN,2.815774,13766,548216,31,29,21,197,-,38949.14844,1554002.625,240,438,255,255,2763670689,620195899,57,1252,0,0,4541.922225,3359.045051,1421938504,1421938507,11.779109,6.442368,0.000559,0.000456,0.000103,0,0,0.0,0.0,0,6,6,2,1,1,1,1,0,Normal
59.166.0.6,16216,149.171.126.8,53,udp,CON,0.001013,130,162,31,29,0,0,dns,513326.75,639684.0625,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1424247616,1424247616,0.006,0.006,0.0,0.0,0.0,0,0,,, ,1,1,2,8,1,1,1,0,Normal
59.166.0.0,56520,149.171.126.5,53,udp,CON,0.001048,130,162,31,29,0,0,dns,496183.2188,618320.625,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1424246786,1424246786,0.013,0.011,0.0,0.0,0.0,0,0,,, ,4,3,2,5,2,1,1,0,Normal
59.166.0.3,3998,149.171.126.4,18336,udp,CON,0.001736,528,304,31,29,0,0,-,1824884.875,1050691.25,4,4,0,0,0,0,132,76,0,0,0.608347,0.318685,1421965272,1421965272,0.433667,0.232333,0.0,0.0,0.0,0,0,0.0,0.0,0,14,6,4,8,1,1,3,0,Normal
59.166.0.4,53559,149.171.126.1,44629,tcp,FIN,0.343406,320,1876,31,29,1,2,ftp-data,6220.042969,38252.09766,6,8,255,255,3122427850,3198566831,53,235,0,0,4843.386184,119.689703,1424240684,1424240684,68.6196,48.99157,0.000572,0.00046,0.000112,0,0,,, ,3,3,2,3,1,1,5,0,Normal
59.166.0.0,44123,149.171.126.0,80,tcp,FIN,1.189051,1684,10168,31,29,3,5,http,10522.67676,64616.23438,14,18,255,255,1154587131,1160408210,120,565,1,3924,8957.954458,7843.149431,1421961050,1421961051,91.43769,69.913824,0.000649,0.000512,0.000137,0,0,1.0,0.0,0,1,3,2,2,1,1,1,0,Normal
59.166.0.3,42621,149.171.126.0,80,tcp,FIN,1.204871,1684,10168,31,29,3,5,http,10384.51367,63767.82031,14,18,255,255,2599425079,450885893,120,565,1,3924,9184.275645,8041.367997,1424239108,1424239110,92.653846,70.846118,0.000604,0.000484,0.00012,0,0,4.0,, ,2,2,4,2,2,2,2,0,Normal
