feature,importance
num__ct_state_ttl,0.14989932903951875
num__sttl,0.1412760324287519
num__sbytes,0.06601223219089714
num__dload,0.06195967514494833
num__dmean,0.05592303571153766
num__dttl,0.04248387735999307
num__dpkts,0.03956388882868243
cat__state_int,0.037618641675940215
num__smean,0.03719691844344548
num__dinpkt,0.03650366647066535
num__dur,0.0357158926816501
num__sload,0.03436440515108456
num__ackdat,0.0320246167683594
num__dbytes,0.025567338760070515
num__tcprtt,0.022243285489202375
num__synack,0.017584581231560363
num__sinpkt,0.016677934811851803
num__ct_dst_sport_ltm,0.012110865791673017
num__sloss,0.011247570704251976
num__ct_src_ltm,0.010952605552909746
num__dloss,0.010608010279880469
num__sjit,0.009967284484973006
num__ct_dst_ltm,0.009389941040117793
num__ct_srv_dst,0.007654080301484468
num__ct_srv_src,0.007586215915799017
num__spkts,0.007236143108958502
num__ct_src_dport_ltm,0.006913547478577644
num__djit,0.005672583374750678
num__stcpb,0.00441837934569787
cat__state_con,0.0042681014514013
num__dwin,0.004216483291142907
num__swin,0.004215458645167104
num__ct_dst_src_ltm,0.003538080022074349
cat__service_dns,0.0032588990322652083
cat__ct_ftp_cmd_,0.0027961150319754683
cat__proto_udp,0.002753621493662272
cat__ct_flw_http_mthd_0.0,0.002663135627558934
num__dtcpb,0.0019166825746703246
cat__is_ftp_login_unknown,0.0017529489813653903
cat__service_-,0.0017092737616843687
cat__state_fin,0.0015161382144484442
cat__ct_flw_http_mthd_unknown,0.0013583518501127647
cat__is_ftp_login_0.0,0.0012469741258434857
cat__proto_tcp,0.0011359388120323654
cat__ct_ftp_cmd_0,0.0009159181552171718
cat__proto_unas,0.0007369713514022184
cat__proto_arp,0.00047401627636122206
num__response_body_len,0.00042176674816214564
num__is_sm_ips_ports,0.00039715603770873887
cat__state_req,0.0003398801390445804
cat__ct_flw_http_mthd_1.0,0.00032972680139910785
cat__service_ftp-data,0.0002828383417652446
cat__proto_sctp,0.00024868527581701057
num__trans_depth,0.00019732280281031223
cat__proto_ospf,0.00018721221326639673
cat__service_http,0.0001687986957270276
cat__service_pop3,0.00012294318177057974
cat__service_smtp,7.306970232503201e-05
cat__proto_icmp,5.9188073333107615e-05
cat__state_eco,4.252501967661855e-05
cat__is_ftp_login_1.0,4.119522845744388e-05
cat__service_ftp,3.910914395457337e-05
cat__service_dhcp,3.574831409470408e-05
cat__proto_swipe,2.0048538606996187e-05
cat__service_ssh,1.9298323370008634e-05
cat__proto_sun-nd,1.5217582972131198e-05
cat__proto_mobile,1.48468702630732e-05
cat__proto_igmp,1.285908963081648e-05
cat__state_rst,1.0357335573404533e-05
cat__ct_flw_http_mthd_6.0,1.0005089875595525e-05
cat__proto_st2,7.88370026408786e-06
cat__ct_flw_http_mthd_4.0,6.14427992127163e-06
cat__ct_ftp_cmd_1,4.7857743855384145e-06
cat__proto_rvd,4.371915699383157e-06
cat__state_urh,3.6797267242537334e-06
cat__service_ssl,3.39092366410447e-06
cat__proto_egp,2.9280041626159893e-06
cat__proto_rsvp,2.5154581272118914e-06
cat__proto_cbt,2.2635340149653037e-06
cat__proto_any,2.158025924847001e-06
cat__proto_ipv6,1.818864980417056e-06
cat__proto_micp,1.6417092922549623e-06
cat__ct_flw_http_mthd_9.0,1.6150585556626975e-06
