rank,feature,importance
1,ct_state_ttl,0.1498993290395187
2,sttl,0.1412760324287519
3,sbytes,0.0660122321908971
4,dload,0.0619596751449483
5,dmean,0.0559230357115376
6,dttl,0.042483877359993
7,dpkts,0.0395638888286824
8,state_int,0.0376186416759402
9,smean,0.0371969184434454
10,dinpkt,0.0365036664706653
11,dur,0.0357158926816501
12,sload,0.0343644051510845
13,ackdat,0.0320246167683594
14,dbytes,0.0255673387600705
15,tcprtt,0.0222432854892023
16,synack,0.0175845812315603
17,sinpkt,0.0166779348118518
18,ct_dst_sport_ltm,0.012110865791673
19,sloss,0.0112475707042519
20,ct_src_ltm,0.0109526055529097
